,Data,N,fNML,qNML,BDeu
0,Iris,16,33,\textbf{28},36
1,PostOperative,20,472,\textbf{159},1393
2,Wine,27,745,\textbf{214},10532
3,HeartHungarian,45,832,\textbf{105},3855
4,BreastCancer,45,3221,\textbf{760},26752
5,HeartCleveland,48,1386,\textbf{601},30250
6,Ecoli,51,164,\textbf{80},108
7,Liver,54,59,\textbf{24},39
8,Glass,55,546,\textbf{100},1319
9,Thyroid,55,70,\textbf{28},37
10,HeartStatlog,56,1075,\textbf{210},14955
11,TicTacToe,96,2068,\textbf{763},13976
12,Balance,96,262,599,\textbf{20}
13,BcWisconsin,105,819,\textbf{88},5964
14,Diabetes,117,185,\textbf{35},35
15,Yeast,225,310,80,\textbf{78}
16,Abalone,418,153,\textbf{62},91
17,PageBlocks,548,397,\textbf{56},616
18,Shuttle,2900,590,\textbf{111},382
19,Adult,4885,1422,876,\textbf{597}
