,Data,N,fNML,qNML,BDeu
0,Iris,16,3.45,\textbf{3.41},3.56
1,PostOperative,20,\textbf{8.25},8.29,10.23
2,Wine,27,12.70,\textbf{12.51},18.17
3,HeartHungarian,45,9.10,\textbf{8.90},10.16
4,BreastCancer,45,\textbf{10.57},10.61,11.95
5,HeartCleveland,48,12.82,\textbf{12.55},16.42
6,Ecoli,51,\textbf{5.29},5.36,5.75
7,Liver,54,3.98,\textbf{3.92},4.08
8,Glass,55,\textbf{6.24},6.29,7.18
9,Thyroid,55,\textbf{2.76},2.78,2.84
10,HeartStatlog,56,11.93,\textbf{11.62},14.18
11,TicTacToe,96,\textbf{10.73},11.04,11.00
12,Balance,96,\textbf{7.39},7.71,7.48
13,BcWisconsin,105,5.12,\textbf{5.09},5.81
14,Diabetes,117,4.95,\textbf{4.89},4.96
15,Yeast,225,\textbf{5.40},5.41,5.54
16,Abalone,418,\textbf{3.88},3.96,3.93
17,PageBlocks,548,\textbf{2.32},2.38,2.36
18,Shuttle,2900,\textbf{1.69},1.72,1.70
19,Adult,4885,\textbf{10.08},10.12,10.23
