N bic bdeu fnml qnml
10 8.953 12.676 13.401 9.599
20 8.925 10.639 11.798 9.625
30 8.799 9.95 11.139 9.246
40 8.26 9.211 10.472 8.676
50 8.116 8.713 10.033 8.327
60 7.684 8.378 9.547 7.779
70 7.143 7.905 9.114 7.283
80 6.728 7.546 8.765 6.99
90 6.699 7.454 8.728 6.797
100 6.175 7.234 8.276 6.386
200 4.318 5.5 6.969 4.686
300 3.225 4.54 5.978 3.541
400 2.694 4.006 5.412 3.119
500 2.323 3.506 5.084 2.791
600 2.028 3.101 4.514 2.488
700 1.775 2.736 4.169 2.184
800 1.661 2.513 3.878 2.026
900 1.55 2.515 3.558 1.866
1000 1.418 2.313 3.5 1.748
2000 1.084 1.91 2.523 1.291
3000 0.937 1.63 2.108 1.044
4000 0.909 1.816 2.094 0.978
5000 0.831 1.306 1.714 0.903
6000 0.822 1.083 1.532 0.879
7000 0.785 0.926 1.512 0.809
8000 0.745 0.97 1.453 0.748
9000 0.683 0.748 1.215 0.651
10000 0.635 0.723 1.203 0.588
