N bic bdeu fnml qnml
10 10 10 10 10
10 10 10 10 11
10 10 10 10 9
10 10 10 10 9
10 10 10 11 10
10 10 10 11 10
10 10 10 11 10
10 10 10 11 10
10 10 10 11 11
10 10 10 11 11
10 10 10 11 11
10 10 10 11 12
10 10 10 12 10
10 10 10 12 9
10 10 10 13 10
10 10 10 13 10
10 10 10 13 10
10 10 10 13 10
10 10 10 13 11
10 10 10 13 12
10 10 10 14 11
10 10 10 14 12
10 10 10 15 9
10 10 10 16 13
10 10 11 10 10
10 10 11 10 11
10 10 11 10 11
10 10 11 10 9
10 10 11 11 10
10 10 11 11 10
10 10 11 11 10
10 10 11 11 10
10 10 11 11 10
10 10 11 11 10
10 10 11 11 11
10 10 11 11 11
10 10 11 11 12
10 10 11 11 9
10 10 11 12 10
10 10 11 12 10
10 10 11 12 10
10 10 11 12 10
10 10 11 12 10
10 10 11 12 10
10 10 11 12 11
10 10 11 12 11
10 10 11 12 11
10 10 11 12 11
10 10 11 13 11
10 10 11 13 11
10 10 11 13 11
10 10 11 13 12
10 10 11 14 11
10 10 11 16 13
10 10 11 9 10
10 10 12 10 10
10 10 12 10 10
10 10 12 10 10
10 10 12 10 9
10 10 12 11 10
10 10 12 11 10
10 10 12 11 10
10 10 12 11 10
10 10 12 11 10
10 10 12 11 10
10 10 12 11 11
10 10 12 11 11
10 10 12 11 11
10 10 12 11 11
10 10 12 12 10
10 10 12 12 11
10 10 12 12 11
10 10 12 12 11
10 10 12 12 11
10 10 12 12 11
10 10 12 12 13
10 10 12 13 11
10 10 12 13 11
10 10 12 13 11
10 10 12 13 11
10 10 12 13 12
10 10 12 13 12
10 10 12 14 10
10 10 12 14 13
10 10 12 15 10
10 10 12 15 12
10 10 12 9 10
10 10 13 10 10
10 10 13 10 9
10 10 13 11 10
10 10 13 11 10
10 10 13 11 10
10 10 13 11 10
10 10 13 11 10
10 10 13 11 11
10 10 13 12 11
10 10 13 12 11
10 10 13 12 11
10 10 13 12 11
10 10 13 12 12
10 10 13 12 9
10 10 13 13 10
10 10 13 13 11
10 10 13 13 11
10 10 13 13 12
10 10 13 13 12
10 10 13 14 12
10 10 13 14 12
10 10 13 14 13
10 10 13 15 11
10 10 14 10 8
10 10 14 11 10
10 10 14 11 10
10 10 14 11 10
10 10 14 11 11
10 10 14 11 12
10 10 14 11 13
10 10 14 12 11
10 10 14 12 11
10 10 14 12 11
10 10 14 13 11
10 10 14 13 12
10 10 14 13 12
10 10 14 13 12
10 10 14 13 9
10 10 14 13 9
10 10 14 15 9
10 10 14 17 11
10 10 14 9 11
10 10 14 9 9
10 10 15 11 10
10 10 15 11 10
10 10 15 11 10
10 10 15 11 12
10 10 15 11 12
10 10 15 12 11
10 10 15 12 11
10 10 15 12 11
10 10 15 13 10
10 10 15 13 11
10 10 15 13 11
10 10 15 13 11
10 10 15 13 12
10 10 15 15 11
10 10 16 11 10
10 10 16 11 10
10 10 16 11 10
10 10 16 11 10
10 10 16 12 10
10 10 16 12 10
10 10 16 12 12
10 10 16 13 11
10 10 16 15 14
10 10 17 11 10
10 10 17 18 11
10 10 17 19 10
10 10 19 10 10
10 10 8 10 9
10 10 8 12 10
10 10 9 10 10
10 10 9 11 10
10 10 9 11 10
10 10 9 11 11
10 10 9 12 11
10 10 9 12 12
10 10 9 12 9
10 10 9 12 9
10 10 9 13 11
10 10 9 9 9
10 11 10 13 10
10 11 10 13 11
10 11 10 14 12
10 11 10 14 12
10 11 10 15 13
10 11 11 11 10
10 11 11 11 11
10 11 11 11 11
10 11 11 12 11
10 11 11 12 11
10 11 11 12 11
10 11 11 12 11
10 11 11 12 11
10 11 11 13 10
10 11 11 13 11
10 11 11 13 11
10 11 11 13 11
10 11 11 13 11
10 11 11 13 12
10 11 11 13 12
10 11 11 14 10
10 11 11 14 11
10 11 11 14 12
10 11 11 14 12
10 11 12 10 12
10 11 12 11 11
10 11 12 12 11
10 11 12 12 11
10 11 12 12 11
10 11 12 12 12
10 11 12 12 12
10 11 12 13 11
10 11 12 13 11
10 11 12 14 12
10 11 12 14 13
10 11 12 15 11
10 11 12 16 11
10 11 13 11 10
10 11 13 11 11
10 11 13 11 11
10 11 13 12 11
10 11 13 12 11
10 11 13 13 12
10 11 13 14 11
10 11 13 14 12
10 11 13 15 10
10 11 13 15 11
10 11 13 16 11
10 11 13 17 12
10 11 14 10 10
10 11 14 10 13
10 11 14 11 11
10 11 14 11 11
10 11 14 11 12
10 11 14 12 10
10 11 14 12 11
10 11 14 12 11
10 11 14 12 11
10 11 14 12 11
10 11 14 12 11
10 11 14 12 12
10 11 14 13 11
10 11 14 13 11
10 11 14 13 11
10 11 14 13 12
10 11 14 14 10
10 11 14 14 10
10 11 14 14 12
10 11 14 15 11
10 11 14 17 12
10 11 15 10 12
10 11 15 11 10
10 11 15 11 10
10 11 15 12 11
10 11 15 12 12
10 11 15 13 11
10 11 15 13 11
10 11 15 13 12
10 11 15 13 14
10 11 15 14 10
10 11 15 15 12
10 11 16 10 10
10 11 16 12 11
10 11 16 12 13
10 11 16 13 11
10 11 16 13 11
10 11 16 14 13
10 11 16 18 12
10 11 17 12 10
10 11 17 12 11
10 11 17 13 12
10 11 18 13 12
10 11 18 15 12
10 11 19 16 12
10 11 8 12 11
10 11 8 13 10
10 11 8 14 12
10 11 9 11 13
10 11 9 12 11
10 11 9 12 11
10 11 9 12 11
10 11 9 13 11
10 12 10 12 12
10 12 10 13 12
10 12 11 13 13
10 12 11 13 9
10 12 11 14 12
10 12 11 14 13
10 12 11 15 13
10 12 12 12 12
10 12 12 12 13
10 12 12 13 12
10 12 12 16 14
10 12 13 12 13
10 12 13 12 13
10 12 13 13 12
10 12 13 14 12
10 12 13 16 12
10 12 14 12 12
10 12 14 12 12
10 12 14 12 13
10 12 14 12 9
10 12 14 13 11
10 12 14 13 12
10 12 14 14 12
10 12 15 15 12
10 12 15 15 12
10 12 15 18 12
10 12 17 12 12
10 12 17 13 14
10 12 19 15 12
10 12 19 16 12
10 13 15 13 13
10 13 15 13 13
10 13 15 13 13
10 13 22 19 15
10 4 8 7 9
10 5 11 5 5
10 6 13 5 7
10 6 13 7 9
10 6 8 7 7
10 7 10 11 10
10 7 10 11 8
10 7 10 19 8
10 7 10 21 10
10 7 11 10 9
10 7 11 12 10
10 7 11 18 8
10 7 12 11 12
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
