N bic bdeu fnml qnml
10 4.894 4.936 5.87 5.863
20 4.57 4.763 5.589 5.766
30 4.487 4.56 5.314 5.459
40 4.408 4.384 5.141 5.227
50 4.356 4.281 4.993 5.024
60 4.303 4.223 4.915 5.038
70 4.289 4.165 4.822 4.867
80 4.283 4.201 4.752 4.869
90 4.251 4.099 4.663 4.749
100 4.249 4.077 4.615 4.693
200 4.136 3.881 4.387 4.37
300 4.095 3.677 4.315 4.204
400 4.086 3.517 4.324 4.06
500 4.044 3.36 4.31 3.928
600 4.005 3.157 4.299 3.786
700 4.016 3.081 4.343 3.72
800 3.926 3.044 4.342 3.545
900 3.872 3.009 4.352 3.468
1000 3.872 2.919 4.329 3.388
2000 3.38 2.511 4.423 2.727
3000 2.885 1.977 4.431 2.007
4000 2.323 1.539 4.4 1.459
5000 1.668 1.082 4.361 1.007
6000 1.232 0.781 4.074 0.693
7000 0.867 0.531 3.964 0.515
8000 0.582 0.34 3.578 0.269
9000 0.476 0.26 3.289 0.23
10000 0.282 0.184 3.009 0.171
