N bic bdeu fnml qnml
10 4 10 10 4
10 4 1 4 2
10 4 1 4 4
10 4 1 4 6
10 4 2 4 4
10 4 2 5 4
10 4 2 6 5
10 4 2 6 5
10 4 2 6 6
10 4 2 7 7
10 4 3 4 2
10 4 3 4 4
10 4 3 4 4
10 4 3 4 4
10 4 3 4 4
10 4 3 4 4
10 4 3 4 5
10 4 3 4 5
10 4 3 5 5
10 4 3 6 5
10 4 3 6 6
10 4 3 6 7
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 4
10 4 4 4 5
10 4 4 4 5
10 4 4 4 5
