N bic bdeu fnml qnml
10 4.247 7.854 7.886 4.249
20 4.439 6.757 6.982 4.441
30 4.59 6.882 6.423 4.57
40 4.671 6.408 6.092 4.593
50 4.797 6.004 5.784 4.664
60 4.892 5.902 5.485 4.676
70 4.846 5.794 5.366 4.591
80 4.905 5.419 5.125 4.556
90 4.866 5.259 4.917 4.471
100 4.888 4.913 4.66 4.302
200 4.247 3.379 3.389 3.214
300 3.585 2.292 2.388 2.331
400 2.763 1.901 1.848 1.721
500 2.065 1.613 1.479 1.254
600 1.585 1.338 1.307 0.871
700 1.288 1.101 1.182 0.703
800 1.019 1.031 1.129 0.593
900 0.673 0.919 1.036 0.35
1000 0.589 0.792 0.961 0.299
2000 0.054 0.445 0.622 0.075
3000 0.029 0.369 0.478 0.053
4000 0.008 0.253 0.385 0.052
5000 0.011 0.249 0.332 0.033
6000 0.006 0.177 0.248 0.014
7000 0.01 0.212 0.256 0.035
8000 0.006 0.319 0.187 0.013
9000 0.007 0.602 0.161 0.01
10000 0.01 0.665 0.167 0.022
