N bic bdeu fnml qnml
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
10 4 10 10 4
