N bic bdeu fnml qnml
10 16.365 29.536 25.315 23.205
20 14.921 26.617 25.34 22.526
30 13.783 23.534 24.474 21.117
40 12.779 19.963 22.593 19.521
50 12.107 17.203 21.155 18.374
60 11.58 15.639 19.542 17.249
70 11.295 14.476 17.786 16.611
80 11.097 13.845 16.418 16.017
90 10.839 13.466 15.0 15.561
100 10.824 13.309 13.876 15.386
200 10.859 12.755 6.551 11.985
300 11.691 12.561 3.054 8.827
400 12.31 10.395 1.282 5.489
500 12.284 8.184 0.566 3.681
600 11.226 5.535 0.27 2.509
700 9.538 4.018 0.121 1.777
800 6.984 2.963 0.052 1.438
900 5.005 2.421 0.056 1.141
1000 3.467 2.044 0.032 0.93
2000 1.033 0.124 0.003 0.026
3000 0.93 0.0 0.002 0.002
4000 0.274 0.0 0.001 0.003
5000 0.006 0.0 0.0 0.001
6000 0.0 0.0 0.001 0.002
7000 0.0 0.0 0.001 0.001
8000 0.017 0.017 0.017 0.017
9000 0.017 0.017 0.017 0.0
10000 0.0 0.0 0.0 0.0
