N bic bdeu fnml qnml
10 11 29 23 26
10 11 32 26 20
10 12 24 22 17
10 12 27 22 24
10 12 28 23 21
10 12 28 24 22
10 12 28 26 19
10 12 32 25 21
10 12 34 27 20
10 13 22 18 11
10 13 22 22 20
10 13 25 19 25
10 13 25 24 22
10 13 26 30 22
10 13 27 22 21
10 13 27 22 25
10 13 29 20 23
10 13 29 21 21
10 13 29 22 18
10 13 29 24 22
10 13 29 25 24
10 13 29 27 24
10 13 30 19 21
10 13 30 22 14
10 13 30 23 20
10 13 30 24 22
10 13 30 25 21
10 13 30 26 24
10 13 30 31 21
10 13 31 22 24
10 13 32 28 21
10 14 20 22 20
10 14 21 20 20
10 14 23 18 20
10 14 23 21 19
10 14 23 23 22
10 14 24 12 21
10 14 25 18 17
10 14 25 23 21
10 14 25 23 22
10 14 25 25 23
10 14 25 26 21
10 14 25 27 20
10 14 26 20 21
10 14 26 21 20
10 14 26 22 19
10 14 26 22 23
10 14 26 23 20
10 14 26 23 21
10 14 26 24 19
10 14 26 24 19
10 14 26 24 19
10 14 26 26 21
10 14 27 21 21
10 14 27 23 21
10 14 27 24 21
10 14 27 24 23
10 14 27 24 24
10 14 27 26 21
10 14 27 28 23
10 14 27 28 24
10 14 27 28 26
10 14 28 18 23
10 14 28 19 13
10 14 28 21 22
10 14 28 22 21
10 14 28 22 21
10 14 28 22 22
10 14 28 24 20
10 14 28 24 21
10 14 28 24 22
10 14 28 24 26
10 14 28 25 20
10 14 28 27 23
10 14 28 27 23
10 14 28 28 20
10 14 28 28 25
10 14 29 21 22
10 14 29 23 22
10 14 29 23 22
10 14 29 24 20
10 14 29 24 20
10 14 29 25 23
10 14 29 25 26
10 14 29 29 22
10 14 29 30 26
10 14 30 24 20
10 14 30 24 25
10 14 30 25 19
10 14 30 26 21
10 14 30 26 25
10 14 30 26 27
10 14 30 28 23
10 14 30 30 25
10 14 31 21 17
10 14 31 22 23
10 14 31 24 22
10 14 31 24 23
10 14 31 25 21
10 14 31 25 26
10 14 31 26 23
10 14 31 26 28
10 14 31 28 24
10 14 31 29 19
10 14 32 17 18
10 14 32 22 23
10 14 32 23 25
10 14 32 26 24
10 14 32 27 21
10 14 32 27 21
10 14 32 27 27
10 14 33 19 15
10 14 33 26 21
10 14 33 26 23
10 14 33 26 24
10 14 33 27 22
10 14 33 30 26
10 14 34 24 25
10 14 34 26 23
10 14 35 24 26
10 14 35 26 18
10 14 39 30 26
10 15 19 19 17
10 15 21 17 19
10 15 21 18 16
10 15 22 20 24
10 15 22 23 22
10 15 23 15 18
10 15 23 20 20
10 15 23 22 22
10 15 23 27 23
10 15 24 19 19
10 15 24 20 14
10 15 24 20 23
10 15 24 25 20
10 15 24 25 21
10 15 24 25 25
10 15 24 26 22
10 15 24 26 24
10 15 24 26 24
10 15 25 23 22
10 15 25 23 23
10 15 25 23 25
10 15 25 25 22
10 15 25 26 19
10 15 26 20 18
10 15 26 20 19
10 15 26 22 22
10 15 26 23 22
10 15 26 23 24
10 15 26 24 24
10 15 26 26 22
10 15 26 26 25
10 15 26 28 26
10 15 26 29 25
10 15 27 19 19
10 15 27 20 17
10 15 27 20 19
10 15 27 20 21
10 15 27 20 22
10 15 27 21 26
10 15 27 22 17
10 15 27 22 21
10 15 27 22 24
10 15 27 23 23
10 15 27 23 24
10 15 27 25 18
10 15 27 25 20
10 15 27 26 22
10 15 27 26 24
10 15 27 26 26
10 15 27 28 23
10 15 27 28 25
10 15 27 29 24
10 15 28 19 16
10 15 28 19 18
10 15 28 22 22
10 15 28 22 22
10 15 28 22 25
10 15 28 23 20
10 15 28 24 19
10 15 28 24 25
10 15 28 25 21
10 15 28 25 22
10 15 28 26 26
10 15 28 27 23
10 15 28 27 24
10 15 28 28 26
10 15 29 21 24
10 15 29 22 23
10 15 29 22 24
10 15 29 22 26
10 15 29 23 17
10 15 29 23 22
10 15 29 24 22
10 15 29 24 22
10 15 29 25 18
10 15 29 25 24
10 15 29 25 26
10 15 29 26 24
10 15 29 27 23
10 15 29 27 25
10 15 29 29 27
10 15 30 22 21
10 15 30 23 26
10 15 30 24 25
10 15 30 25 20
10 15 30 26 25
10 15 30 26 26
10 15 30 27 24
10 15 30 28 24
10 15 30 29 23
10 15 31 19 19
10 15 31 20 15
10 15 31 23 22
10 15 31 25 25
10 15 31 27 20
10 15 31 27 23
10 15 31 27 23
10 15 31 27 27
10 15 31 28 22
10 15 31 28 23
10 15 31 29 26
10 15 31 31 27
10 15 31 31 28
10 15 32 19 24
10 15 32 21 22
10 15 32 21 25
10 15 32 23 23
10 15 32 23 24
10 15 32 23 24
10 15 32 23 27
10 15 32 24 25
10 15 32 26 23
10 15 32 26 23
10 15 32 26 26
10 15 32 26 26
10 15 32 27 20
10 15 32 28 25
10 15 32 28 25
10 15 32 29 26
10 15 32 30 27
10 15 32 31 25
10 15 32 32 24
10 15 33 23 19
10 15 33 24 20
10 15 33 24 22
10 15 33 25 22
10 15 33 26 25
10 15 33 26 26
10 15 33 27 23
10 15 33 28 19
10 15 33 31 24
10 15 33 32 23
10 15 33 34 27
10 15 34 24 23
10 15 34 24 24
10 15 34 24 26
10 15 34 26 25
10 15 34 27 22
10 15 34 27 23
10 15 34 29 21
10 15 34 31 22
10 15 34 33 23
10 15 35 21 21
10 15 35 24 24
10 15 37 32 29
10 16 18 16 19
10 16 22 19 18
10 16 22 21 21
10 16 22 22 19
10 16 23 20 22
10 16 23 20 24
10 16 23 22 23
10 16 23 22 23
10 16 24 19 24
10 16 24 21 18
10 16 24 21 20
10 16 24 21 20
10 16 24 21 21
10 16 24 21 26
10 16 24 22 21
10 16 24 23 23
10 16 24 24 24
10 16 24 26 24
10 16 25 18 17
10 16 25 22 24
10 16 25 23 21
10 16 25 23 22
10 16 25 23 23
10 16 25 23 24
10 16 25 25 17
10 16 25 25 21
10 16 25 26 18
10 16 26 20 21
10 16 26 21 23
10 16 26 22 20
10 16 26 22 23
10 16 26 23 17
10 16 26 23 19
10 16 26 23 27
10 16 26 24 19
10 16 26 25 20
10 16 26 25 23
10 16 26 25 24
10 16 26 25 24
10 16 26 25 24
10 16 26 26 22
10 16 26 26 25
10 16 26 27 24
10 16 26 28 22
10 16 27 17 20
10 16 27 18 18
10 16 27 22 22
10 16 27 22 28
10 16 27 23 24
10 16 27 24 21
10 16 27 24 22
10 16 27 24 26
10 16 27 25 22
10 16 27 25 23
10 16 27 25 24
10 16 27 26 21
10 16 27 26 23
10 16 27 26 25
10 16 27 26 26
10 16 27 27 23
10 16 27 28 23
10 16 27 29 23
10 16 27 32 22
10 16 28 14 23
10 16 28 19 22
10 16 28 19 23
10 16 28 21 21
10 16 28 22 16
10 16 28 22 20
10 16 28 22 21
10 16 28 23 20
10 16 28 24 20
10 16 28 24 21
10 16 28 24 23
10 16 28 24 24
10 16 28 24 24
10 16 28 25 21
10 16 28 25 21
10 16 28 25 24
10 16 28 25 24
10 16 28 25 24
10 16 28 26 21
10 16 28 26 21
10 16 28 26 24
10 16 28 26 25
10 16 28 26 26
10 16 28 27 21
10 16 28 27 22
10 16 28 27 24
10 16 28 27 24
10 16 28 27 25
