N bic bdeu fnml qnml
10 6.759 7.935 8.876 8.822
20 6.465 6.85 8.632 8.719
30 6.374 6.596 8.148 8.26
40 6.315 6.503 8.027 8.086
50 6.252 6.392 7.654 7.734
60 6.22 6.339 7.373 7.374
70 6.19 6.34 7.202 7.152
80 6.189 6.316 7.056 7.014
90 6.181 6.288 6.917 6.951
100 6.172 6.278 6.848 6.758
200 6.099 6.155 6.392 6.247
300 6.084 6.14 6.166 6.115
400 6.043 6.073 6.109 5.993
500 6.039 6.068 5.992 5.924
600 6.027 6.048 5.939 5.881
700 6.018 6.04 5.948 5.84
800 5.993 6.051 5.886 5.786
900 5.98 6.026 5.881 5.744
1000 6.003 6.02 5.877 5.675
2000 5.889 5.95 5.48 5.014
3000 5.66 5.888 5.034 4.373
4000 5.238 5.632 4.401 3.64
5000 4.548 5.321 3.567 2.845
6000 3.947 4.724 2.893 2.298
7000 3.527 4.258 2.408 1.958
8000 3.033 3.82 1.763 1.578
9000 2.691 3.48 1.43 1.369
10000 2.427 3.106 1.178 1.146
