N bic bdeu fnml qnml
10 10 9 11 10
10 4 4 7 5
10 4 6 6 6
10 5 8 8 10
10 5 8 8 7
10 5 9 10 10
10 6 10 10 10
10 6 10 10 10
10 6 10 10 10
10 6 10 10 10
10 6 10 10 11
10 6 10 10 13
10 6 10 10 8
10 6 10 10 8
10 6 10 10 8
10 6 10 10 9
10 6 10 11 10
10 6 10 11 10
10 6 10 11 11
10 6 10 11 12
10 6 10 11 7
10 6 10 12 10
10 6 10 12 11
10 6 10 12 13
10 6 10 5 6
10 6 10 6 9
10 6 10 7 7
10 6 10 7 8
10 6 10 7 8
10 6 10 8 10
10 6 10 8 10
10 6 10 8 11
10 6 10 8 8
10 6 10 8 9
10 6 10 9 11
10 6 10 9 11
10 6 10 9 11
10 6 10 9 12
10 6 10 9 7
10 6 10 9 8
10 6 10 9 8
10 6 10 9 8
10 6 10 9 9
10 6 10 9 9
10 6 10 9 9
10 6 10 9 9
10 6 11 10 10
10 6 11 10 10
10 6 11 10 12
10 6 11 10 7
10 6 11 10 8
10 6 11 10 9
10 6 11 10 9
10 6 11 10 9
10 6 11 11 12
10 6 11 11 8
10 6 11 7 10
10 6 4 10 7
10 6 4 12 8
10 6 4 5 5
10 6 4 5 6
10 6 4 6 5
10 6 4 6 5
10 6 4 7 6
10 6 4 7 8
10 6 4 7 9
10 6 4 9 10
10 6 4 9 6
10 6 4 9 7
10 6 5 10 9
10 6 5 10 9
10 6 5 11 10
10 6 5 11 10
10 6 5 11 7
10 6 5 11 9
10 6 5 5 5
10 6 5 5 8
10 6 5 6 5
10 6 5 6 5
10 6 5 6 6
10 6 5 6 7
10 6 5 6 7
10 6 5 6 7
10 6 5 6 8
10 6 5 6 8
10 6 5 7 6
10 6 5 7 6
10 6 5 7 7
10 6 5 7 7
10 6 5 7 8
10 6 5 7 8
10 6 5 8 10
10 6 5 8 4
10 6 5 8 6
10 6 5 8 6
10 6 5 8 7
10 6 5 8 7
10 6 5 8 8
10 6 5 8 8
10 6 5 9 11
10 6 5 9 6
10 6 5 9 7
10 6 5 9 7
10 6 5 9 8
10 6 5 9 8
10 6 5 9 9
10 6 6 10 10
10 6 6 10 10
10 6 6 10 10
10 6 6 10 11
10 6 6 10 7
10 6 6 10 8
10 6 6 10 8
10 6 6 10 8
10 6 6 10 8
10 6 6 10 9
10 6 6 10 9
10 6 6 10 9
10 6 6 10 9
10 6 6 10 9
10 6 6 10 9
10 6 6 10 9
10 6 6 10 9
10 6 6 11 10
10 6 6 11 10
10 6 6 11 6
10 6 6 11 8
10 6 6 11 8
10 6 6 11 9
10 6 6 5 10
10 6 6 5 6
10 6 6 5 6
10 6 6 6 4
10 6 6 6 6
10 6 6 6 6
10 6 6 6 6
10 6 6 6 6
10 6 6 6 6
10 6 6 6 7
10 6 6 6 7
10 6 6 6 7
10 6 6 6 7
10 6 6 6 8
10 6 6 6 9
10 6 6 6 9
10 6 6 6 9
10 6 6 7 10
10 6 6 7 10
10 6 6 7 6
10 6 6 7 7
10 6 6 7 7
10 6 6 7 7
10 6 6 7 7
10 6 6 7 7
10 6 6 7 7
10 6 6 7 7
10 6 6 7 7
10 6 6 7 7
10 6 6 7 7
10 6 6 7 8
10 6 6 7 8
10 6 6 7 8
10 6 6 7 8
10 6 6 7 8
10 6 6 7 8
10 6 6 7 8
10 6 6 7 8
10 6 6 7 9
10 6 6 7 9
10 6 6 7 9
10 6 6 8 10
10 6 6 8 10
10 6 6 8 7
10 6 6 8 7
10 6 6 8 7
10 6 6 8 7
10 6 6 8 8
10 6 6 8 8
10 6 6 8 8
10 6 6 8 8
10 6 6 8 8
10 6 6 8 8
10 6 6 8 8
10 6 6 8 8
10 6 6 8 8
10 6 6 8 8
10 6 6 8 8
10 6 6 8 9
10 6 6 8 9
10 6 6 8 9
10 6 6 8 9
10 6 6 8 9
10 6 6 9 10
10 6 6 9 10
10 6 6 9 6
10 6 6 9 6
10 6 6 9 7
10 6 6 9 7
10 6 6 9 8
10 6 6 9 8
