,Data,N,BDeu,BIC,fNML,qNML
0,Iris,15,0.84,\textbf{0.63},	extit{0.87},\underline{0.82}
1,PostOpe,18,1.35,\textbf{0.11},	extit{1.66},\underline{1.29}
2,Ecoli,34,0.83,\textbf{0.30},	extit{0.96},\underline{0.77}
3,Liver,35,0.60,\textbf{0.10},	extit{0.88},\underline{0.43}
4,Wine,36,	extit{2.11},\textbf{0.75},1.86,\underline{1.44}
5,Glass,44,1.32,\textbf{0.38},	extit{1.41},\underline{0.85}
6,Thyroid,44,0.84,\textbf{0.48},	extit{0.97},\underline{0.66}
7,HeartSt,54,1.81,\textbf{0.56},	extit{2.06},\underline{1.50}
8,BreastC,58,\underline{1.27},\textbf{0.42},	extit{1.71},1.39
9,HeartHu,60,\underline{0.93},\textbf{0.56},	extit{1.55},1.04
10,HeartCl,62,1.69,\textbf{0.41},	extit{1.96},\underline{1.33}
11,BcWisco,70,	extit{2.02},\textbf{0.76},1.96,\underline{1.14}
12,Diabete,77,\underline{0.55},\textbf{0.23},	extit{1.04},0.58
13,TicTacT,96,\underline{1.60},\textbf{0.21},2.32,	extit{2.47}
14,Balance,126,\textbf{0.06},\underline{0.15},0.71,	extit{1.18}
15,Yeast,149,0.54,\textbf{0.14},	extit{0.78},\underline{0.45}
16,Abalone,418,1.20,\textbf{0.78},	extit{1.49},\underline{0.93}
17,PageBlo,548,	extit{1.67},\textbf{0.38},1.17,\underline{0.49}
18,Shuttle,5800,	extit{2.02},\textbf{1.05},1.84,\underline{1.14}
19,Adult,6513,\underline{1.34},\textbf{1.11},	extit{1.59},1.36
